2012-03-12 16:02:08: StorageConsistencyCheck[12023]: (re)connecting to database
Got     4234 LFNs in   149 directories
Orphaned file summary:

Final score: 0 files left...

Directory summary:
       SE/TMDB  diff : Directory
         5/30      -25 : /store/mc/Summer09/Z3Jets_Pt300to800-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV_preproduction-v2
          1/3       -2 : /store/mc/Summer09/Z3Jets_Pt800to1600-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         1/10       -9 : /store/mc/Summer09/Z3Jets_Pt800to1600-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
          1/5       -4 : /store/mc/Summer09/Z3Jets_Pt800to1600-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          1/4       -3 : /store/mc/Summer09/Z4Jets_Pt800to1600-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v2
         1/10       -9 : /store/mc/Summer09/Z4Jets_Pt800to1600-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v2
          1/5       -4 : /store/mc/Summer09/Z4Jets_Pt800to1600-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v2
          1/3       -2 : /store/mc/Summer09/Z5Jets_Pt800to1600-alpgen/AODSIM/MC_31X_V3_7TeV_preproduction_AODSIM-v2
         3/16      -13 : /store/mc/Summer09/Z5Jets_Pt800to1600-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV_preproduction-v2
         2/10       -8 : /store/mc/Summer09/Z5Jets_Pt800to1600-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV_preproduction-v2
         1/13      -12 : /store/mc/Summer09/Zgg-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v2
         4/92      -88 : /store/mc/Summer09/Zgg-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v2
         2/37      -35 : /store/mc/Summer09/Zgg-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v2
        12/87      -75 : /store/mc/Summer09/ZinvisibleJets-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v2
